date,close
2019-04-29,16.7966
2019-04-30,16.7966
2019-05-02,16.8372
2019-05-03,16.9893
2019-05-06,16.6952
2019-05-07,16.8676
2019-05-08,16.7459
2019-05-09,16.543
2019-05-10,16.5329
2019-05-13,16.259
2019-05-14,16.1576
2019-05-15,16.1779
2019-05-16,16.0359
2019-05-17,15.8736
2019-05-20,15.8634
2019-05-21,15.904
2019-05-22,15.904
2019-05-23,15.6099
2019-05-24,15.691
2019-05-27,15.6504
2019-05-28,15.6403
2019-05-29,15.5693
2019-05-30,15.7012
2019-05-31,15.9142
2019-06-03,15.9344
2019-06-04,15.833
2019-06-05,15.8837
2019-06-06,15.762
2019-06-10,16.0359
2019-06-11,16.1069
2019-06-12,16.1677
2019-06-13,16.0359
2019-06-14,16.0054
2019-06-17,15.9649
2019-06-18,16.0054
2019-06-19,16.3807
2019-06-20,16.401
2019-06-21,16.401
2019-06-24,16.472
2019-06-25,16.3807
2019-06-26,16.2996
2019-06-27,16.5329
2019-06-28,16.4112
2019-07-01,16.7662
2019-07-02,16.7256
2019-07-03,16.5329
2019-07-04,16.6343
2019-07-05,16.614
2019-07-08,16.5532
2019-07-09,16.5329
2019-07-10,16.6749
2019-07-11,16.8067
2019-07-12,16.7864
2019-07-15,16.8777
2019-07-16,16.9082
2019-07-17,16.7966
2019-07-18,16.7763
2019-07-19,16.9809
2019-07-22,17.0628
2019-07-23,17.1037
2019-07-24,17.0934
2019-07-25,17.1446
2019-07-26,17.0321
2019-07-29,17.073
2019-07-30,17.0218
2019-07-31,16.94
2019-08-01,16.8377
2019-08-02,16.5615
2019-08-05,16.3978
2019-08-06,16.3876
2019-08-07,16.3058
2019-08-08,16.5001
2019-08-12,16.4899
2019-08-13,16.3058
2019-08-14,16.4285
2019-08-15,16.2444
2019-08-16,16.4388
2019-08-19,16.5308
2019-08-20,16.5717
2019-08-21,16.5922
2019-08-22,16.5513
2019-08-23,16.5717
2019-08-26,16.2955
2019-08-27,16.3365
2019-08-28,16.449
2019-08-29,16.4797
2019-08-30,16.7456
2019-09-02,16.7559
2019-09-03,16.6127
2019-09-04,16.807
2019-09-05,16.9809
2019-09-06,17.0832
2019-09-09,17.1446
2019-09-10,17.0628
2019-09-11,17.073
2019-09-12,17.165
2019-09-16,17.2673
2019-09-17,17.2367
2019-09-18,17.3799
2019-09-19,17.2776
2019-09-20,17.3287
2019-09-23,17.2878
2019-09-24,17.3185
2019-09-25,17.206
2019-09-26,17.2469
2019-09-27,17.3083
2019-10-01,17.5845
2019-10-02,17.5231
2019-10-03,17.3492
2019-10-04,17.4208
2019-10-07,17.4822
2019-10-08,17.697
2019-10-09,17.5538
2019-10-14,17.9118
2019-10-15,17.9425
2019-10-16,18.0243
2019-10-17,18.0346
2019-10-18,17.9936
2019-10-21,17.9732
2019-10-22,18.1471
2019-10-23,18.0959
2019-10-24,18.1675
2019-10-25,18.1675
2019-10-28,18.2494
2019-10-29,18.3005
2019-10-30,18.3824
2019-10-31,18.4335
2019-11-01,18.4335
2019-11-04,18.8631
2019-11-05,19.0064
2019-11-06,19.0984
2019-11-07,18.9961
2019-11-08,18.9347
2019-11-11,18.6483
2019-11-12,18.8222
2019-11-13,18.7097
2019-11-14,18.6995
2019-11-15,18.8836
2019-11-18,19.0064
2019-11-19,19.1496
2019-11-20,19.078
2019-11-21,18.9245
2019-11-22,18.9347
2019-11-25,18.945
2019-11-26,18.9961
2019-11-27,19.0677
2019-11-28,19.0166
2019-11-29,18.7199
2019-12-02,18.8325
2019-12-03,18.8325
